                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    nan,                    nan,                    nan,                0.00827,                 0.2123,                0.00537,                0.00188,                      0,                    nan,                      0,               0.070135,              0.0033184,              0.0033184
                      1,                    nan,                    nan,                    nan,                0.00846,                  0.218,                0.00555,                0.00191,                      0,                    nan,                      0,               0.040003,                0.00652,                0.00652
                      2,                    nan,                    nan,                    nan,                0.00854,                0.22005,                0.00568,                0.00194,                      0,                    nan,                      0,              0.0097391,              0.0095896,              0.0095896
                      3,                    nan,                    nan,                    nan,                0.00843,                0.21731,                0.00557,                 0.0019,                      0,                    nan,                      0,               0.009406,               0.009406,               0.009406
                      4,                    nan,                    nan,                    nan,                0.00838,                0.21595,                0.00548,                0.00189,                      0,                    nan,                      0,               0.009406,               0.009406,               0.009406
                      5,                    nan,                    nan,                    nan,                0.00839,                0.21595,                0.00547,                 0.0019,                      0,                    nan,                      0,               0.009208,               0.009208,               0.009208
                      6,                    nan,                    nan,                    nan,                0.00841,                 0.2164,                0.00551,                0.00189,                      0,                    nan,                      0,                0.00901,                0.00901,                0.00901
                      7,                    nan,                    nan,                    nan,                0.00853,                0.21936,                0.00556,                 0.0019,                      0,                    nan,                      0,               0.008812,               0.008812,               0.008812
                      8,                    nan,                    nan,                    nan,                 0.0084,                0.21663,                0.00553,                0.00193,                      0,                    nan,                      0,               0.008614,               0.008614,               0.008614
                      9,                    nan,                    nan,                    nan,                0.00834,                0.21481,                0.00551,                0.00194,                      0,                    nan,                      0,               0.008416,               0.008416,               0.008416
                     10,                    nan,                    nan,                    nan,                0.00829,                 0.2139,                0.00547,                0.00187,                      0,                    nan,                      0,               0.008218,               0.008218,               0.008218
                     11,                    nan,                    nan,                    nan,                0.00852,                0.21936,                0.00555,                 0.0019,                      0,                    nan,                      0,                0.00802,                0.00802,                0.00802
                     12,                    nan,                    nan,                    nan,                0.00826,                0.21253,                0.00544,                 0.0019,                      0,                    nan,                      0,               0.007822,               0.007822,               0.007822
                     13,                    nan,                    nan,                    nan,                 0.0084,                0.21617,                 0.0055,                0.00191,                      0,                    nan,                      0,               0.007624,               0.007624,               0.007624
                     14,                    nan,                    nan,                    nan,                0.00846,                0.21777,                0.00553,                 0.0019,                      0,                    nan,                      0,               0.007426,               0.007426,               0.007426
                     15,                    nan,                    nan,                    nan,                0.00848,                0.21845,                0.00554,                0.00191,                      0,                    nan,                      0,               0.007228,               0.007228,               0.007228
                     16,                    nan,                    nan,                    nan,                0.00832,                0.21412,                0.00549,                0.00189,                      0,                    nan,                      0,                0.00703,                0.00703,                0.00703
                     17,                    nan,                    nan,                    nan,                0.00826,                0.21276,                0.00542,                0.00186,                      0,                    nan,                      0,               0.006832,               0.006832,               0.006832
                     18,                    nan,                    nan,                    nan,                0.00828,                0.21298,                0.00541,                0.00187,                      0,                    nan,                      0,               0.006634,               0.006634,               0.006634
                     19,                    nan,                    nan,                    nan,                0.00831,                 0.2139,                0.00546,                0.00191,                      0,                    nan,                      0,               0.006436,               0.006436,               0.006436
                     20,                    nan,                    nan,                    nan,                0.00828,                0.21276,                0.00535,                0.00187,                      0,                    nan,                      0,               0.006238,               0.006238,               0.006238
                     21,                    nan,                    nan,                    nan,                 0.0084,                 0.2164,                0.00554,                0.00191,                      0,                    nan,                      0,                0.00604,                0.00604,                0.00604
                     22,                    nan,                    nan,                    nan,                0.00847,                0.21777,                0.00548,                0.00188,                      0,                    nan,                      0,               0.005842,               0.005842,               0.005842
                     23,                    nan,                    nan,                    nan,                0.00838,                0.21572,                0.00549,                0.00187,                      0,                    nan,                      0,               0.005644,               0.005644,               0.005644
                     24,                    nan,                    nan,                    nan,                0.00844,                0.21777,                0.00559,                0.00189,                      0,                    nan,                      0,               0.005446,               0.005446,               0.005446
                     25,                    nan,                    nan,                    nan,                0.00828,                0.21321,                0.00535,                0.00185,                      0,                    nan,                      0,               0.005248,               0.005248,               0.005248
                     26,                    nan,                    nan,                    nan,                0.00841,                 0.2164,                0.00548,                0.00192,                      0,                    nan,                      0,                0.00505,                0.00505,                0.00505
                     27,                    nan,                    nan,                    nan,                 0.0084,                 0.2164,                0.00556,                0.00193,                      0,                    nan,                      0,               0.004852,               0.004852,               0.004852
                     28,                    nan,                    nan,                    nan,                0.00837,                0.21526,                0.00546,                0.00189,                      0,                    nan,                      0,               0.004654,               0.004654,               0.004654
                     29,                    nan,                    nan,                    nan,                0.00854,                0.21959,                0.00556,                0.00192,                      0,                    nan,                      0,               0.004456,               0.004456,               0.004456
                     30,                    nan,                    nan,                    nan,                0.00828,                0.21321,                 0.0054,                0.00185,                      0,                    nan,                      0,               0.004258,               0.004258,               0.004258
                     31,                    nan,                    nan,                    nan,                0.00837,                0.21572,                0.00552,                0.00192,                      0,                    nan,                      0,                0.00406,                0.00406,                0.00406
                     32,                    nan,                    nan,                    nan,                0.00841,                0.21617,                0.00552,                 0.0019,                      0,                    nan,                      0,               0.003862,               0.003862,               0.003862
